ID,Title,Abstract,Authors,Venue,Venue Type,Year,Source (query/snowballing),Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Snowballing applied?,Notes
1,Adaptive Mobile Cloud Computing to Enable Rich Mobile Multimedia Applications,"With worldwide shipments of smartphones (487.7 million) exceeding PCs (414.6 million including tablets) in 2011 [1], and in the US alone, more users predicted to access the Internet from mobile devices than from PCs by 2015 [2], clearly there is a desire to be able to use mobile devices and networks like we use PCs and wireline networks today. However, in spite of advances in the capabilities of mobile devices, a gap will continue to exist, and may even widen, with the requirements of rich multimedia applications. Mobile cloud computing can help bridge this gap, providing mobile applications the capabilities of cloud servers and storage together with the benefits of mobile devices and mobile connectivity, possibly enabling a new generation of truly ubiquitous multimedia applications on mobile devices: Cloud Mobile Media (CMM) applications.","S Wang, S Dey ",IEEE Transactions on Multimedia,Journal Article,2013,Query,yes,yes,no,x,,,,,,,,,
2,A 65-nm Mobile Multimedia Applications Processor with an Adaptive Power Management Scheme to Compensate for Variations,"In this paper we present the SmartReflextrade power management techniques implemented on the OMAP3430 Mobile Multimedia Applications Processor. By using multiple voltage domains, fine grain power domains, split-rail memories, and adaptive compensation, SoC active power reduction of 66% and leakage power reduction of 2 3 orders of magnitude was achieved. OMAP3430 contains more than 150M transistors.","H. Mair, A. Wang, G. Gammie, D. Scott, P. Royannez, S. Gururajarao, M. Chau, R. Lagerquist, L. Ho, M. Basude, N. Culp, A. Sadate, D. Wilson, F. Dahan, J. Song, B. Carlson, U. Ko",2007 IEEE Symposium on VLSI Circuits,Conference Paper,2007,Query,yes,yes,no,x,,,,,,,,,
3,Adaptive Code Offloading for Mobile Cloud Applications: Exploiting Fuzzy Sets and Evidence-based Learning,"Mobile cloud computing is arising as a prominent domain that is seeking to bring the massive advantages of the cloud to the resource constrained smartphones, by following a delegation or offloading criteria. In a delegation model, a mobile device consumes services from multiple clouds by efficiently utilizing solutions like middleware. In the offloading model, a mobile application is partitioned and analyzed so that the most computational expensive operations at code level can be identified and offloaded for remote processing. While code offloading is studied extensively for the development of mobile cloud applications, much of the advantages of cloud computing are still left unexploited and poorly considered in these approaches. Cloud computing may introduce many other dynamic variables like performance metrics, parallelization of tasks, elasticity etc., to current code offloading models that could affect the overall offloading decision process. To address this, we propose a fuzzy decision engine for code offloading, that considers both mobile and cloud variables. The cloud parameters and rules are introduced asynchronously to the mobile, using notification services. The paper also proposes a strategy to enrich the offloading decision process with evidence-based learning methods, by exploiting cloud processing capabilities over code offloading traces.","H Flores, S Srirama",Proceeding of the Fourth ACM Workshop on Mobile Cloud Computing and Services,Conference Paper,2013,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,Not sure about self-adaptation
4,Adaptive Blocker Rejection Continuous-TimeΣΔADC for Mobile WiMAX Applications,"An adaptive blocker-rejection wideband continuous-time (CT) sigma-delta (SigmaDelta) analog-to-digital converter (ADC) is presented. An integrated blocker detector reconfigures the ADC loop architecture to avoid overloading in the presence of strong interferers, improving receiver channel selectivity and sensitivity without increasing its dynamic range (DR) requirements. The adaptive operation relaxes receiver baseband channel filtering requirements for a worldwide inter-operability for microwave access (WiMAX, IEEE 802.16e) receiver. The ADC achieves 71 dB of dynamic range (DR), 65 dB of peak SNDR and 68 dB of peak SNR over a 10 MHz signal bandwidth, consuming 18 mW from a 1.2 V supply. The ADC system reconfigures the loop filter topology within 51 mus, improving receiver selectivity without any transient impact on BER. In the blocker suppression mode, the ADC can withstand 30 dBc blocker at the adjacent channel, achieving - 22 dB error vector magnitude (EVM) with a 24 Mb/s 16-QAM signal. The IC is fabricated on a 130 nm 8-level metal, metal-insulator-metal (MIM) capacitor, CMOS technology, occupying 1.5 times 0.9 mm2silicon area.","H Kim, J Lee, T Copani, S Bazarjani, S Kiaei, B Bakkaloglu",IEEE Journal of Solid-State Circuits,Journal Article,2009,Query,yes,yes,no,,x,,,,,,,-,
5,"Adaptive control of four-wheel-steering off-road mobile robots: Application to path tracking and heading control in presence of sliding
","In this paper, automatic path tracking of a four-wheel-steering vehicle in presence of sliding is addressed. The attractive feature of such a steering system is that, despite of sliding phenomena, both lateral and angular deviations can be explicitly controlled. Indeed, previous research has demonstrated that high-precision path tracking on a low grip terrain can be achieved with two-wheel-steering vehicles. However, in this case, only the lateral deviation is kept satisfactorily close to zero, the angular deviation is non null in order to compensate for sliding effects. In this paper, previous adaptive control laws are extended to the case of four-wheel-steering mobile robots with the aim to servo both lateral and angular deviations. Relying on an extended kinematic model, a backstepping control approach, which considers successively front and rear steering control, has been designed. Real world experiments have been carried out on a low adherent terrain with a four-wheel-steering vehicle equipped with a single RTK-GPS. This demonstrates the capabilities of the proposed control law and its robustness in real all-terrain conditions.","C Cariou, R Lenain, B Thuilot, P Martinet",2008 IEEE/RSJ International Conference on Intelligent Robots and Systems,Conference Paper,2008,Query,yes,,,,x,,,,,,,-,
6,Distributed adaptive control for consensus tracking with application to formation control of nonholonomic mobile robots,"In this paper, we investigate the output consensus problem of tracking a desired trajectory for a class of systems consisting of multiple nonlinear subsystems with intrinsic mismatched unknown parameters. The subsystems are allowed to have non-identical dynamics, whereas with similar structures and the same yet arbitrary system order. Suppose that the communications among the subsystems can be represented by a directed graph. Diﬀerent from the traditional centralized tracking control problem, only a subset of the subsystems can obtain the desired trajectory information directly. A distributed adaptive control approach based on backstepping technique is proposed. By introducing the estimates to account for the parametric uncertainties of the desired trajectory and its neighbors’ dynamics into the local controller of each subsystem, the information exchanges of online parameter estimates and local synchronization errors among linked subsystems can be avoided. It is proved that the boundedness of all closed-loop signals and the asymptotically consensus tracking for all the subsystems’ outputs are ensured. In simulation studies, a numerical example is illustrated to show the eﬀectiveness of the proposed control scheme. Moreover, the design strategy is successfully applied to solve a formation control problem for multiple nonholonomic mobile robots.","W Wang, J Huang ,C Wen, H Fan",Automatica,Journal Article,2014,Query,yes,,,,x,,,,,,,,
7,Towards Context-aware and Resource-driven Self-adaptation for Mobile Handheld Applications,"Mobile handheld computing is gaining momentum as more and more wireless handheld devices are being used to accomplish various computing tasks. Context-awareness can help to adapt and personalize applications or to optimize resource usage. However, many existing context infrastructures by themselves impose heavy resource requirements for deployment or highly affect the limited autonomy of the mobile device. In this paper we describe how resource-driven self-adaptation is used in our layered context-driven application middleware in order to enable deployment on a mobile device and optimize resource usage. Our evaluation shows that the introspection and intercession capabilities of the self-adapting middleware provide the necessary flexibility to achieve a balanced resource usage between the context-driven application middleware and the context-aware applications, and that the resource-driven self-adaptation is able to more than double the battery lifetime in real life scenarios."," D Preuveneers, Y Berbers ",Proceedings of the 2007 ACM Symposium on Applied Computing,Conference Paper,2007,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
8,Adaptive Approaches to Context Aware Mobile Learning Applications,"Learning has gone through major changes from its inception in the human race. Among all such major changes mobile learning is the latest to happen with the advent of mobile learning technologies that have the potential to revolutionize distance education by bringing the concept of anytime and anywhere to reality. From the learner’s perceptive, mobile learning is “any sort of leaning that happens when the learner is not at a fixed, pre-determined location or learning that happens when the learner takes advantage of learning opportunities offered by mobile technologies”. Research in context aware mobile learning has concentrated on how to adapt applications to context. This paper reviews and discusses few mobile learning systems the approach in implementing context awareness and adaptation, and presents some others good work done in this line.","U. B. Nagella, P. Govindarajulu",International Journal of Computer Science and Security,Journal Article,2008,Query,yes,yes,no,,,x,,,,,,,Not sure about self-adaptation
9,An accurate and adaptive pedometer integrated in mobile health application,"An interesting and valuable application in sensor network technology is Personalised Rehabilitation. In particular, through the combination of a smart phone and wearable sensors, patients can follow and have feedback on their exercise programmes, while enhancing the medical monitoring. In this paper, we design a system to measure the patient&apos;s activity by estimating his walking habits. The system, ready to be integrated in a mobile health application, consists of an inertial sensor with a tri-axial orthogonal accelerometer attached to patient&apos;s foot, while the sensor is connected to a smart phone for data processing. Additionally, we propose an algorithm for step detection and gait state estimation. The challenge is to provide reliable and accurate detection when pacers are in different gait states. Also, the algorithm will reduce error drifts at start moment when sensor signals are very unstable. Extensive experiment results will demonstrate that the algorithm provides good performance in terms of accuracy, adaptability and memory use.","S Zhong, L Wang, AM Bernardos, M Song",IET International Conference on Wireless Sensor Network 2010 (IET-WSN 2010),Conference Paper,2010,Query,yes,yes,yes,x,,,,,,,,,
10,Adaptive random testing of mobile application,"Mobile applications are becoming more and more powerful yet also more complex. While mobile application users expect the application to be reliable and secure, the complexity of the mobile application makes it prone to have faults. Mobile application engineers and testers use testing technique to ensure the quality of mobile application. However, the testing of mobile application is time-consuming and hard to automate. In this paper, we model the mobile application from a black box view and propose a distance metric for the test cases of mobile software. We further proposed an ART test case generation technique for mobile application. Our experiment shows our ART tool can both reduce the number of test cases and the time needed to expose first fault when compared with random technique.","Z Liu, X Gao, X Long",IEEE - 2010 2nd International Conference on Computer Engineering and Technology,Conference Paper,2010,Query,yes,yes,no,x,,,,,,,,,
